📡  电信频道,#genre#
CCTV世界地理,http://14.19.151.48:8188/udp/239.253.43.7:5146
CCTV怀旧剧场,http://14.19.151.48:8188/udp/239.253.43.25:5146
CCTV怀旧剧场,http://14.19.151.48:8188/udp/239.253.43.5:5146
CCTV风云剧场,http://14.19.151.48:8188/udp/239.253.43.26:5146
CCTV风云剧场,http://14.19.151.48:8188/udp/239.253.43.16:5146
CCTV文化精品,http://14.19.151.48:8188/udp/239.253.43.27:5146
CCTV文化精品,http://14.19.151.48:8188/udp/239.253.43.13:5146
CCTV第一剧场,http://14.19.151.48:8188/udp/239.253.43.28:5146
CCTV第一剧场,http://14.19.151.48:8188/udp/239.253.43.15:5146
CCTV风云音乐,http://14.19.151.48:8188/udp/239.253.43.29:5146
CCTV风云音乐,http://14.19.151.48:8188/udp/239.253.43.6:5146
CHC高清电影,http://14.19.151.48:8188/udp/239.77.0.27:5146
辽宁新动漫,http://14.19.151.48:8188/udp/239.77.1.136:5146
北京卡酷少儿,http://14.19.151.48:8188/udp/239.77.0.79:5146
北京卡酷少儿,http://14.19.151.48:8188/udp/239.77.1.50:5146
湖南茶频道,http://14.19.151.48:8188/udp/239.77.0.15:5146
湖南茶频道,http://14.19.151.48:8188/udp/239.77.1.207:5146
湖南快乐垂钓,http://14.19.151.48:8188/udp/239.77.0.145:5146
湖南快乐垂钓,http://14.19.151.48:8188/udp/239.77.1.119:5146
湖南金鹰纪实,http://14.19.151.48:8188/udp/239.77.1.217:5146
湖南金鹰纪实,http://14.19.151.48:8188/udp/239.77.0.160:5146
湖南金鹰纪实,http://14.19.151.48:8188/udp/239.77.0.162:5146
上海纪实人文,http://14.19.151.48:8188/udp/239.77.1.216:5146
上海纪实人文,http://14.19.151.48:8188/udp/239.77.0.147:5146
上海游戏竞技,http://14.19.151.48:8188/udp/239.77.0.211:5146
华数求索纪录,http://14.19.151.48:8188/udp/239.77.0.21:5146
华数求索生活,http://14.19.151.48:8188/udp/239.77.0.153:5146
河南梨园频道,http://14.19.151.48:8188/udp/239.77.1.100:5146
河南武术世界,http://14.19.151.48:8188/udp/239.77.1.108:5146
河南文物宝库,http://14.19.151.48:8188/udp/239.77.1.120:5146
湖南金鹰卡通,http://14.19.151.48:8188/udp/239.77.0.80:5146
湖南金鹰卡通,http://14.19.151.48:8188/udp/239.77.1.52:5146
湖南金鹰卡通,http://14.19.151.48:8188/udp/239.77.0.164:5146
上海哈哈炫动,http://14.19.151.48:8188/udp/239.77.0.81:5146
上海哈哈炫动,http://14.19.151.48:8188/udp/239.77.1.139:5146
江苏优漫卡通,http://14.19.151.48:8188/udp/239.77.0.222:5146
江苏优漫卡通,http://14.19.151.48:8188/udp/239.77.1.79:5146
山东教育卫视,http://14.19.151.48:8188/udp/239.77.0.83:5146
山东教育卫视,http://14.19.151.48:8188/udp/239.77.1.35:5146
中国交通,http://14.19.151.48:8188/udp/239.77.1.249:5146
中国天气,http://14.19.151.48:8188/udp/239.77.1.143:5146
