广东频道,#genre#
嘉佳卡通,http://113.65.11.5:58000/udp/239.77.0.179:5146
嘉佳卡通,http://113.65.11.152:58000/udp/239.77.0.179:5146
南方购物,http://120.238.99.51:8888/udp/239.77.0.19:5146
南方购物,http://222.125.242.74:8888/udp/239.77.0.19:5146
南方购物,http://125.93.111.26:8888/udp/239.77.0.19:5146
南方购物,http://120.237.116.125:8888/udp/239.77.0.19:5146
南方购物,http://14.145.226.150:4022/udp/239.77.0.19:5146
南方购物,http://113.111.247.168:55555/udp/239.77.0.19:5146
南方购物,http://113.65.11.5:58000/udp/239.77.0.19:5146
南方购物,http://113.65.11.152:58000/udp/239.77.0.19:5146
岭南戏曲,http://120.238.99.51:8888/udp/239.77.0.122:5146
岭南戏曲,http://222.125.242.74:8888/udp/239.77.0.122:5146
岭南戏曲,http://125.93.111.26:8888/udp/239.77.0.122:5146
岭南戏曲,http://120.237.116.125:8888/udp/239.77.0.122:5146
岭南戏曲,http://14.145.226.150:4022/udp/239.77.0.122:5146
岭南戏曲,http://113.111.247.168:55555/udp/239.77.0.122:5146
岭南戏曲,http://113.65.11.5:58000/udp/239.77.0.122:5146
岭南戏曲,http://113.65.11.152:58000/udp/239.77.0.122:5146
现代教育,http://120.238.99.51:8888/udp/239.77.0.213:5146
现代教育,http://222.125.242.74:8888/udp/239.77.0.213:5146
现代教育,http://125.93.111.26:8888/udp/239.77.0.213:5146
现代教育,http://120.237.116.125:8888/udp/239.77.0.213:5146
现代教育,http://14.145.226.150:4022/udp/239.77.0.213:5146
现代教育,http://113.111.247.168:55555/udp/239.77.0.213:5146
现代教育,http://113.65.11.5:58000/udp/239.77.0.213:5146
现代教育,http://113.65.11.152:58000/udp/239.77.0.213:5146
南国都市 4K,http://120.238.99.51:8888/udp/239.253.43.99:5146
南国都市 4K,http://222.125.242.74:8888/udp/239.253.43.99:5146
南国都市 4K,http://125.93.111.26:8888/udp/239.253.43.99:5146
南国都市 4K,http://120.237.116.125:8888/udp/239.253.43.99:5146
南国都市 4K,http://14.145.226.150:4022/udp/239.253.43.99:5146
南国都市 4K,http://113.111.247.168:55555/udp/239.253.43.99:5146
南国都市 4K,http://113.65.11.5:58000/udp/239.253.43.99:5146
南国都市 4K,http://113.65.11.152:58000/udp/239.253.43.99:5146
深圳都市频道,http://120.238.99.51:8888/udp/239.77.1.176:5146
深圳都市频道,http://222.125.242.74:8888/udp/239.77.1.176:5146
深圳都市频道,http://125.93.111.26:8888/udp/239.77.1.176:5146
深圳都市频道,http://120.237.116.125:8888/udp/239.77.1.176:5146
深圳都市频道,http://14.145.226.150:4022/udp/239.77.1.176:5146
深圳都市频道,http://113.111.247.168:55555/udp/239.77.1.176:5146
深圳都市频道,http://113.65.11.5:58000/udp/239.77.1.176:5146
深圳都市频道,http://113.65.11.152:58000/udp/239.77.1.176:5146
深圳电视剧频道,http://120.238.99.51:8888/udp/239.77.1.177:5146
深圳电视剧频道,http://222.125.242.74:8888/udp/239.77.1.177:5146
深圳电视剧频道,http://125.93.111.26:8888/udp/239.77.1.177:5146
深圳电视剧频道,http://120.237.116.125:8888/udp/239.77.1.177:5146
深圳电视剧频道,http://14.145.226.150:4022/udp/239.77.1.177:5146
深圳电视剧频道,http://113.111.247.168:55555/udp/239.77.1.177:5146
深圳电视剧频道,http://113.65.11.5:58000/udp/239.77.1.177:5146
深圳电视剧频道,http://113.65.11.152:58000/udp/239.77.1.177:5146
深圳财经生活,http://120.238.99.51:8888/udp/239.77.1.242:5146
深圳财经生活,http://222.125.242.74:8888/udp/239.77.1.242:5146
深圳财经生活,http://125.93.111.26:8888/udp/239.77.1.242:5146
深圳财经生活,http://120.237.116.125:8888/udp/239.77.1.242:5146
深圳财经生活,http://14.145.226.150:4022/udp/239.77.1.242:5146
深圳财经生活,http://113.111.247.168:55555/udp/239.77.1.242:5146
深圳财经生活,http://113.65.11.5:58000/udp/239.77.1.242:5146
深圳财经生活,http://113.65.11.152:58000/udp/239.77.1.242:5146
深圳娱乐频道,http://120.238.99.51:8888/udp/239.77.1.243:5146
深圳娱乐频道,http://222.125.242.74:8888/udp/239.77.1.243:5146
深圳娱乐频道,http://125.93.111.26:8888/udp/239.77.1.243:5146
深圳娱乐频道,http://120.237.116.125:8888/udp/239.77.1.243:5146
深圳娱乐频道,http://14.145.226.150:4022/udp/239.77.1.243:5146
深圳娱乐频道,http://113.111.247.168:55555/udp/239.77.1.243:5146
深圳娱乐频道,http://113.65.11.5:58000/udp/239.77.1.243:5146
深圳娱乐频道,http://113.65.11.152:58000/udp/239.77.1.243:5146
深圳体育健康,http://120.238.99.51:8888/udp/239.77.1.128:5146
深圳体育健康,http://222.125.242.74:8888/udp/239.77.1.128:5146
深圳体育健康,http://125.93.111.26:8888/udp/239.77.1.128:5146
深圳体育健康,http://120.237.116.125:8888/udp/239.77.1.128:5146
深圳体育健康,http://14.145.226.150:4022/udp/239.77.1.128:5146
深圳体育健康,http://113.111.247.168:55555/udp/239.77.1.128:5146
深圳体育健康,http://113.65.11.5:58000/udp/239.77.1.128:5146
深圳体育健康,http://113.65.11.152:58000/udp/239.77.1.128:5146
深圳少儿频道,http://120.238.99.51:8888/udp/239.77.1.244:5146
深圳少儿频道,http://222.125.242.74:8888/udp/239.77.1.244:5146
深圳少儿频道,http://125.93.111.26:8888/udp/239.77.1.244:5146
深圳少儿频道,http://120.237.116.125:8888/udp/239.77.1.244:5146
深圳少儿频道,http://14.145.226.150:4022/udp/239.77.1.244:5146
深圳少儿频道,http://113.111.247.168:55555/udp/239.77.1.244:5146
深圳少儿频道,http://113.65.11.5:58000/udp/239.77.1.244:5146
深圳少儿频道,http://113.65.11.152:58000/udp/239.77.1.244:5146
深圳公共频道,http://120.238.99.51:8888/udp/239.77.1.178:5146
深圳公共频道,http://222.125.242.74:8888/udp/239.77.1.178:5146
深圳公共频道,http://125.93.111.26:8888/udp/239.77.1.178:5146
深圳公共频道,http://120.237.116.125:8888/udp/239.77.1.178:5146
深圳公共频道,http://14.145.226.150:4022/udp/239.77.1.178:5146
深圳公共频道,http://113.111.247.168:55555/udp/239.77.1.178:5146
深圳公共频道,http://113.65.11.5:58000/udp/239.77.1.178:5146
深圳公共频道,http://113.65.11.152:58000/udp/239.77.1.178:5146
深圳宝安频道,http://120.238.99.51:8888/udp/239.77.1.67:5146
深圳宝安频道,http://222.125.242.74:8888/udp/239.77.1.67:5146
深圳宝安频道,http://125.93.111.26:8888/udp/239.77.1.67:5146
深圳宝安频道,http://120.237.116.125:8888/udp/239.77.1.67:5146
深圳宝安频道,http://14.145.226.150:4022/udp/239.77.1.67:5146
深圳宝安频道,http://113.111.247.168:55555/udp/239.77.1.67:5146
深圳宝安频道,http://113.65.11.5:58000/udp/239.77.1.67:5146
深圳宝安频道,http://113.65.11.152:58000/udp/239.77.1.67:5146
深圳宝安第一课,http://120.238.99.51:8888/udp/239.77.1.225:5146
深圳宝安第一课,http://222.125.242.74:8888/udp/239.77.1.225:5146
深圳宝安第一课,http://125.93.111.26:8888/udp/239.77.1.225:5146
深圳宝安第一课,http://120.237.116.125:8888/udp/239.77.1.225:5146
深圳宝安第一课,http://14.145.226.150:4022/udp/239.77.1.225:5146
深圳宝安第一课,http://113.111.247.168:55555/udp/239.77.1.225:5146
深圳宝安第一课,http://113.65.11.5:58000/udp/239.77.1.225:5146
深圳宝安第一课,http://113.65.11.152:58000/udp/239.77.1.225:5146
